Time [s],HBX6,HBX5,HBX4,HBX3,RA RX,RA TX,DEC RX,DEC TX
-0.001000000,1,1,1,0,1,1,1,1
0.000000000,0,1,1,0,0,1,0,1
0.000104333,1,1,1,0,1,1,1,1
0.000208375,0,1,1,0,0,1,0,1
0.000312708,1,1,1,0,1,1,1,1
0.000416750,0,1,1,0,0,1,0,1
0.000521042,1,1,1,0,0,1,0,1
0.000521083,1,1,1,0,1,1,1,1
0.000625125,0,1,1,0,0,1,0,1
0.000729417,1,1,1,0,1,1,1,1
0.000833458,1,1,1,0,1,1,0,1
0.000833500,0,1,1,0,0,1,0,1
0.000937792,1,1,1,0,1,1,1,1
0.001041833,0,1,1,0,0,1,0,1
0.001250333,1,1,1,0,1,1,1,1
0.001354375,1,1,1,0,1,1,0,1
0.001354417,0,1,1,0,0,1,0,1
0.001458708,1,1,1,0,1,1,1,1
0.001562750,0,1,1,0,0,1,0,1
0.001667083,1,1,1,0,1,1,1,1
0.001771125,0,1,1,0,0,1,0,1
0.001875458,1,1,1,0,1,1,1,1
0.002083667,0,1,1,0,0,1,0,1
0.002188000,1,1,1,0,1,1,1,1
0.002292042,0,1,1,0,0,1,0,1
0.003021458,1,1,1,0,1,1,1,1
0.003125500,0,1,1,0,0,1,0,1
0.003229833,1,1,1,0,1,1,1,1
0.003333875,0,1,1,0,0,1,0,1
0.004063292,1,1,1,0,1,1,1,1
0.004167333,0,1,1,0,0,1,0,1
0.004480042,1,1,1,0,1,1,1,1
0.004584083,0,1,1,0,0,1,0,1
0.005105125,1,1,1,0,1,1,1,1
0.005219583,1,1,1,0,1,0,1,1
0.005219667,1,0,1,0,1,0,1,1
0.005323625,1,0,1,0,1,1,1,1
0.005323667,1,1,1,0,1,1,1,1
0.005427667,1,1,1,0,1,0,1,1
0.005427708,1,0,1,0,1,0,1,1
0.005531667,1,0,1,0,1,1,1,1
0.005531750,1,1,1,0,1,1,1,1
0.005635708,1,1,1,0,1,0,1,1
0.005635750,1,0,1,0,1,0,1,1
0.005739708,1,0,1,0,1,1,1,1
0.005739792,1,1,1,0,1,1,1,1
0.005843750,1,1,1,0,1,0,1,1
0.005843792,1,0,1,0,1,0,1,1
0.005947750,1,0,1,0,1,1,1,1
0.005947833,1,1,1,0,1,1,1,1
