Time [s],HBX TX,HBX RX,RA RX,RA TX,DEC RX,DEC TX
-0.001000000,1,1,1,1,1,1
0.000000000,0,1,0,1,0,1
0.000104333,1,1,1,1,1,1
0.000208375,0,1,0,1,0,1
0.000312667,1,1,1,1,1,1
0.000416750,0,1,0,1,0,1
0.000521042,1,1,1,1,1,1
0.000625083,0,1,1,1,0,1
0.000625125,0,1,0,1,0,1
0.000729417,1,1,1,1,1,1
0.000833458,0,1,0,1,0,1
0.000937792,1,1,1,1,1,1
0.001041833,0,1,0,1,0,1
0.001250333,1,1,1,1,1,1
0.001354375,0,1,0,1,0,1
0.001458708,1,1,1,1,1,1
0.001562750,0,1,0,1,0,1
0.001667083,1,1,1,1,1,1
0.001771125,0,1,0,1,0,1
0.001875458,1,1,1,1,1,1
0.002083667,0,1,0,1,0,1
0.002188000,1,1,1,1,1,1
0.002292042,0,1,0,1,0,1
0.003021458,1,1,1,1,1,1
0.003125500,0,1,0,1,0,1
0.003229833,1,1,1,1,1,1
0.003333875,0,1,0,1,0,1
0.004063292,1,1,1,1,1,1
0.004167333,0,1,0,1,0,1
0.004480000,1,1,0,1,0,1
0.004480042,1,1,1,1,1,1
0.004584083,0,1,0,1,0,1
0.005105125,1,1,1,1,1,1
0.005310833,1,1,1,0,1,1
0.005310875,1,0,1,0,1,1
0.005414875,1,0,1,1,1,1
0.005414917,1,1,1,1,1,1
0.005518875,1,1,1,0,1,1
0.005518917,1,0,1,0,1,1
0.005622917,1,0,1,1,1,1
0.005622958,1,1,1,1,1,1
0.005726917,1,1,1,0,1,1
0.005726958,1,0,1,0,1,1
0.005830958,1,0,1,1,1,1
0.005831000,1,1,1,1,1,1
0.005934958,1,1,1,0,1,1
0.005935042,1,0,1,0,1,1
0.006039000,1,0,1,1,1,1
0.006039083,1,1,1,1,1,1
0.006143042,1,1,1,0,1,1
0.006143083,1,0,1,0,1,1
0.006247042,1,0,1,1,1,1
0.006247125,1,1,1,1,1,1
0.006351083,1,1,1,0,1,1
0.006351125,1,0,1,0,1,1
0.006559083,1,0,1,1,1,1
0.006559167,1,1,1,1,1,1
0.006663125,1,1,1,0,1,1
0.006663167,1,0,1,0,1,1
0.006767125,1,0,1,1,1,1
0.006767208,1,1,1,1,1,1
0.006871167,1,1,1,0,1,1
0.006871208,1,0,1,0,1,1
0.006975167,1,0,1,1,1,1
0.006975250,1,1,1,1,1,1
0.007079208,1,1,1,0,1,1
0.007079250,1,0,1,0,1,1
0.007183208,1,0,1,1,1,1
0.007183292,1,1,1,1,1,1
0.007391292,1,1,1,0,1,1
0.007391333,1,0,1,0,1,1
0.007495292,1,0,1,1,1,1
0.007495375,1,1,1,1,1,1
0.007599333,1,1,1,0,1,1
0.007599375,1,0,1,0,1,1
0.008327458,1,0,1,1,1,1
0.008327500,1,1,1,1,1,1
0.008431500,1,1,1,0,1,1
0.008431542,1,0,1,0,1,1
0.008535500,1,0,1,1,1,1
0.008535583,1,1,1,1,1,1
0.008639542,1,1,1,0,1,1
0.008639583,1,0,1,0,1,1
0.008743542,1,0,1,1,1,1
0.008743625,1,1,1,1,1,1
0.008847583,1,1,1,0,1,1
0.008847625,1,0,1,0,1,1
0.009367667,1,0,1,1,1,1
0.009367750,1,1,1,1,1,1
0.009471708,1,1,1,0,1,1
0.009471750,1,0,1,0,1,1
0.009783750,1,0,1,1,1,1
0.009783833,1,1,1,1,1,1
0.009887792,1,1,1,0,1,1
0.009887833,1,0,1,0,1,1
0.010407917,1,0,1,1,1,1
0.010407958,1,1,1,1,1,1
0.010511917,1,1,1,0,1,1
0.010512000,1,0,1,0,1,1
0.010824000,1,0,1,1,1,1
0.010824042,1,1,1,1,1,1
0.010928042,1,1,1,0,1,1
0.010928083,1,0,1,0,1,1
0.011032042,1,0,1,1,1,1
0.011032125,1,1,1,1,1,1
0.011136083,1,1,1,0,1,1
0.011136125,1,0,1,0,1,1
0.011448125,1,0,1,1,1,1
0.011448208,1,1,1,1,1,1
0.011552167,1,1,1,0,1,1
0.011552208,1,0,1,0,1,1
0.011656167,1,0,1,1,1,1
0.011656208,1,1,1,1,1,1
0.011760208,1,1,1,0,1,1
0.011760250,1,0,1,0,1,1
0.011864208,1,0,1,1,1,1
0.011864292,1,1,1,1,1,1
0.012592375,1,1,1,0,1,1
0.012592417,1,0,1,0,1,1
0.012696375,1,0,1,1,1,1
0.012696458,1,1,1,1,1,1
0.012800417,1,1,1,0,1,1
0.012800458,1,0,1,0,1,1
0.012904417,1,0,1,1,1,1
0.012904500,1,1,1,1,1,1
0.013112500,1,1,1,0,1,1
0.013112542,1,0,1,0,1,1
0.013216500,1,0,1,1,1,1
0.013216542,1,1,1,1,1,1
0.013424542,1,1,1,0,1,1
0.013424583,1,0,1,0,1,1
0.013528542,1,0,1,1,1,1
0.013528625,1,1,1,1,1,1
0.013632583,1,1,1,0,1,1
0.013632625,1,0,1,0,1,1
0.014048667,1,0,1,1,1,1
0.014048750,1,1,1,1,1,1
0.014464750,1,1,1,0,1,1
0.014464792,1,0,1,0,1,1
0.014568750,1,0,1,1,1,1
0.014568833,1,1,1,1,1,1
0.025420792,0,1,0,1,0,1
0.025525083,1,1,1,1,1,1
0.025629125,1,1,1,1,0,1
0.025629167,0,1,0,1,0,1
0.025733458,1,1,1,1,1,1
0.025837500,0,1,0,1,0,1
0.025941833,1,1,1,1,1,1
0.026045875,0,1,0,1,0,1
0.026150208,1,1,1,1,1,1
0.026254250,0,1,0,1,0,1
0.026358542,1,1,0,1,1,1
0.026358583,1,1,1,1,1,1
0.026462625,0,1,0,1,0,1
0.026671125,1,1,1,1,1,1
0.026775167,0,1,0,1,0,1
0.026879458,1,1,0,1,1,1
0.026879500,1,1,1,1,1,1
0.026983542,0,1,0,1,0,1
0.027087833,1,1,1,1,1,1
0.027191875,1,1,1,1,0,1
0.027191917,0,1,0,1,0,1
0.027296208,1,1,1,1,1,1
0.027504458,0,1,0,1,0,1
0.027608750,1,1,1,1,1,1
0.027712792,1,1,1,1,0,1
0.027712833,0,1,0,1,0,1
0.028442250,1,1,1,1,1,1
0.028546292,0,1,0,1,0,1
0.028650583,1,1,1,1,1,1
0.028754667,0,1,0,1,0,1
0.029484042,1,1,0,1,0,1
0.029484083,1,1,1,1,1,1
0.029588125,0,1,0,1,0,1
0.029900792,1,1,1,1,1,1
0.030004833,1,1,1,1,0,1
0.030004875,0,1,0,1,0,1
0.030213333,1,1,0,1,0,1
0.030213375,1,1,1,1,1,1
0.030317417,0,1,0,1,0,1
0.030525917,1,1,1,1,1,1
0.030680667,1,1,1,1,1,0
0.030680708,1,0,1,1,1,0
0.030784667,1,0,1,1,1,1
0.030784750,1,1,1,1,1,1
0.030888708,1,1,1,1,1,0
0.030888750,1,0,1,1,1,0
0.030992708,1,0,1,1,1,1
0.030992792,1,1,1,1,1,1
0.031096750,1,1,1,1,1,0
0.031096792,1,0,1,1,1,0
0.031200750,1,0,1,1,1,1
0.031200833,1,1,1,1,1,1
0.031304792,1,1,1,1,1,0
0.031304833,1,0,1,1,1,0
0.031408792,1,0,1,1,1,1
0.031408875,1,1,1,1,1,1
0.031512833,1,1,1,1,1,0
0.031512875,1,0,1,1,1,0
0.031616833,1,0,1,1,1,1
0.031616917,1,1,1,1,1,1
0.031720875,1,1,1,1,1,0
0.031720917,1,0,1,1,1,0
0.031928875,1,0,1,1,1,1
0.031928958,1,1,1,1,1,1
0.032032917,1,1,1,1,1,0
0.032032958,1,0,1,1,1,0
0.032136917,1,0,1,1,1,1
0.032137000,1,1,1,1,1,1
0.032240958,1,1,1,1,1,0
0.032241000,1,0,1,1,1,0
0.032344958,1,0,1,1,1,1
0.032345042,1,1,1,1,1,1
0.032449000,1,1,1,1,1,0
0.032449042,1,0,1,1,1,0
0.032553000,1,0,1,1,1,1
0.032553083,1,1,1,1,1,1
0.032761083,1,1,1,1,1,0
0.032761125,1,0,1,1,1,0
0.032865083,1,0,1,1,1,1
0.032865167,1,1,1,1,1,1
0.032969083,1,1,1,1,1,0
0.032969125,1,0,1,1,1,0
0.033697208,1,0,1,1,1,1
0.033697292,1,1,1,1,1,1
